bet,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
04/03/2026 16:34:37,Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,Jed,10.1109/ICSE55347.2025.00082,https://github.com/zhangbuzhang/ObfusEval,2025,ICSE,National University of Defense Technology,"Large Language Model, Code Generation Capability, Code Dataset",,Yes,No,,No,No,No,No,No,No,https://github.com/zhangbuzhang/ObfusEval,"F1, etc: Could not find a DOI for the artefact; PS. repo was very hard to find ",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I1: XLSX files used, which are machine readable; I2: No external datasets used",No,Readme - too short,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,Inline comments,,Yes,Yes,"R1: Readme lacks detail; R2: No qualified references to external software; R3: Not enough comments, not good enough documentation; 3rd party tools: software tests pre-generated llm code, does not require LLM access as far as i could tell","Repository was hard to find, no DOI, weak metadata",00:12:00
04/03/2026 16:47:23,ConsCS: Effective and Efficient Verification of Circom Circuits,Jed,10.1109/ICSE55347.2025.00200,https://github.com/jinan789/ConsCS,2025,ICSE,Hong Kong Polytechnic University,Circom verification,,Yes,No,,No,No,No,No,No,Yes,https://github.com/jinan789/ConsCS,"no DOI, github linked in paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,"Github repo, readme describes structure of repo",Yes,No: no datasets used,No: infeasible,"I1: Software uses YAML; I2: not fully sure, but dont think external datasets are used",Yes,"README, LICENSE",Yes,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,No,"R1: Readme lacks detail, but LICENSE also present, honestly this could go either way; R2: No qualified references to external software; R3: No comments, weak documentation; 3rd party tools: not fully sure","Github repo, dont think theres a DOI, weak metadata",00:12:00
04/03/2026 16:56:13,Constrained LTL Specification Learning from Examples,Jed,10.1109/ICSE55347.2025.00160,https://github.com/cmu-soda/ATLAS,2025,ICSE,"Carnegie Mellon University, Columbia University, The Pennsylvania State University","Formal methods, model checking","Artefact Available, Artefact Functional",Yes,No,,No,No,No,No,No,No,https://github.com/cmu-soda/ATLAS,"F1, etc: Could not find a DOI after having a good look",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Uses CSV; I2: Don't think external datasets/objects used,Yes,"README, LICENSE",Yes,Yes,No: program uses external libraries but are not referenced appropriately,No,pom.xml (Maven / Java),No,,Docker,Yes,Yes,"R1.2: Debatable whether provenance is detailed enough; R2: No references to external software; R3: Commenting, documentation too weak;","No DOI, metadata a bit lacking",00:09:00
05/03/2026 14:59:01,LLM-Aided Automatic Modeling for Security Protocol Verification,Jed,10.1109/ICSE55347.2025.00197,https://github.com/zerrymore/AutoSM,2025,ICSE,"Zhejiang University, Singapore Management University, Xidian University, East China Normal University","Automatic modeling, Symbolic analysis, LLMs",,Yes,No,,No,No,Yes,No,No,Yes,https://github.com/zerrymore/AutoSM,"F1, etc: No DOI repository found; F2: Good metadata, includes references, mentions multiple contributors, has a license;",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,README describes setup for the artefact,Yes,No: no datasets used,No: infeasible,I1: tool uses JSON; I2: No external datasets used,Yes,"README, LICENSE",Yes,No,Yes,No,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,"R2: Qualified references to tamarin software; R3: Some comments, but insufficient; 3rd party software: Tamarin prover",Uses 3rd party software in execution in the form of 'Tamarin prover'; but is this something to be penalised?,00:11:00
06/03/2026 03:26:12,THANOS: DBMS Bug Detection via Storage Engine Rotation Based Differential Testing,Jed,10.1109/ICSE55347.2025.00001,,2025,ICSE,"National University of Defense Technology,  Tsinghua University","DBMS Testing, Differential Testing, Storage Engine",,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,,Cited github link leads to 'page not found'; could not find the repository with a google search,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"The github link in the paper did not work, and no repository was possible to find for the software.",00:05:00
07/03/2026 14:42:40,Coni: Detecting Database Connector Bugs via State-Aware Test Case Generation,Jed,10.1109/ICSE55347.2025.00003,https://github.com/THU-WingTecher/Coni,2025,ICSE,Tsinghua University,Test generation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/THU-WingTecher/Coni,"No DOI, github cited in paper",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Artefact Unavailable,No: no datasets used,No: infeasible,"I1: Could not tell, software uses some txt files for configuration; I2: No other objects referenced",Yes,"README, LICENSE, citation within readme",Yes,No,Yes,No,pom.xml (Maven / Java),No,,Docker,Yes,No,"R1: README perhaps not detailed enough to qualify this point, could see it going either way for R1; R2: SOME qualified references to external libraries; R3: No code commenting; Possible to reproduce question: The README doesn't contain enough information in my opinion for me to be confident in my ability to reproduce the results.","No DOI, github repo, weak metadata",00:13:00
07/03/2026 15:05:09,PUPPY: Finding Performance Degradation Bugs in DBMSs via Limited-Optimization Plan Construction,Jed,10.1109/ICSE55347.2025.00045,,2025,ICSE,Tsinghua University,Software Testing,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,"I couldn't find a repository for the tool, although the paper definitely implies that one should exist.",Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"Couldnt find an artefact, though the paper mentions an automated approach and applies it to generate results, which should produce an artefact.",00:05:00
07/03/2026 15:28:55,Enhancing Fault Localization in Industrial Software Systems via Contrastive Learning,Jed,10.1109/ICSE55347.2025.00009,https://github.com/pppppkun/falcon,2025,ICSE,"Nanjing University, Samsung Electronics","Industrial software debugging, fault localization, contrastive learning",,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,https://github.com/pppppkun/falcon,"The github does not contain any of the software used to produce the results, only a table of experimental data.",Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"The 'falcon' framework mentioned in the paper was not findable, the github provided only contained a results table",00:06:00
07/03/2026 15:54:05,Who's Pushing the Code? An Exploration of GitHub Impersonation,Jed,10.1109/ICSE55347.2025.00065,https://github.com/zyueek/ICSE25_github,2025,ICSE,"Vanderbilt University, Southern University of Science and Technology","Open-Source Software, Impersonation",,Yes,No,,No,No,No,No,No,Yes,https://github.com/zyueek/ICSE25_github,"The paper describes a dataset and doesnt really imply a software artefact, but the scripts contained in the results repository are quite extensive and qualify as an artefact in my opinion. Couldn't find a DOI for the artefact.",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I2: No external datasets used,No,Short README explaining the basic functionality of each script,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,Yes,"R1: Not enough data in the README, and no citation or license; R2: No references to external software; R3: Not enough code commenting or documentation","Honestly on the fence on this one; the main output of the study is the dataset, and the provided scripts are less of a major tool and more of just a side product, so the weak FAIR compliance is kind of excusable in this case. If you mark the paper as not containing a software artefact then it kind of allows for this, but that ignores that the paper DOES produce scripts that were used in getting the results. But then, it feels like because the authors went a bit further than necessary in providing the scripts, they are now being penalised in the study, whereas if they had simply not provided the scripts, they would not have been penalised, which feels wrong if that makes sense? Not sure, anyway I think this is an interesting case.",00:15:00
07/03/2026 16:05:11,Investigating the Impact of Interpersonal Challenges on Feeling Welcome in OSS,Jed,10.1109/ICSE55347.2025.00056,https://figshare.com/s/9b0763fac157e95493be?file=45118702,2025,ICSE,"Colorado State University, Oregon State University, Northern Arizona University","challenges, OSS, diversity, open source, OSS, toxicity, inclusivity, belonging, welcomeness",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Provided repository contains a dataset only, no indication of any software artefact used in the study.",00:05:00
07/03/2026 16:34:56,Understanding the Effectiveness of Coverage Criteria for Large Language Models: A Special Angle from Jailbreak Attacks,Jed,10.1109/ICSE55347.2025.00209,https://zenodo.org/records/14854154,2025,ICSE,"Nanyang Technological University, Huazhong University of Science and Technology, ","Cybersecurity, LLMs",Artefact Available,Yes,Yes,https://doi.org/10.5281/zenodo.14854154,Yes,Yes,Yes,Yes,Yes,No,,"F1.2: Version 1 of the software requires authentication to access for some reason, a bit weird. No github found",Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Uses CSV; I2: No external datasets used,Yes,"README, LICENSE",Yes,Yes,Yes,No,requirements.txt (pip),No,,,No,Yes,"Amusingly, the software artefact file size is smaller than the license file size (both ~10kb)
R1:README containing provenance etc; R2: Debatable, readme does mention external code used from prior research; R3: Not very good quality code - one massive file, not many comments; 3RD party tools: Doesnt MENTION needing an LLM key, implies that by default it runs without one? '(defaults to `Llama-2-7b-chat-hf`)' I could be mistaken though. ","Zenodo artefact repository, code could be better quality, decent README + metadata",00:12:00
07/03/2026 17:28:19,Diversity Drives Fairness: Ensemble of Higher Order Mutants for Intersectional Fairness of Machine Learning Software,Jed,10.1109/ICSE55347.2025.00122,https://github.com/chenzhenpeng18/ICSE25-FairHOME,2025,ICSE,"Nanyang Technological University, Peking University, King’s College London, University College London, China-Singapore International Joint Research Institute","Machine learning, intersectional fairness, input mutation, output ensemble",,Yes,No,,No,No,No,No,No,Yes,https://github.com/chenzhenpeng18/ICSE25-FairHOME,Could not find a DOI for the software artefact,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,"Software metadata does not describe how to retrieve the artefact, but does describe how to install the required software to run it",No,Yes,No: infeasible,"I1: Seems to use txt files for input/output? Like tables contained in a txt file, rather than a CSV form. Imo not appropriate; I2: Qualified reference to the dataset used.",Yes,"README, citation within README",No,No,Yes,No,,No,,,Yes,No,"R1.1: Couldnt see an immediately accessible license?; R2: Good qualified references to AIF360, which is a piece of software used for this project; R3: Not enough code commenting in my opinion; 3RD party tools: technically DOES require 3rd party tool but its not a barrier to use of the artefact (i.e. tool isnt paywalled)","Decent metadata, no DOI, weird project directory organisation, use of txt files to store data, not confident in reproducibility. Not very FAIR compliant",00:12:00
07/03/2026 17:41:40,HIFI: Explaining and Mitigating Algorithmic Bias Through the Lens of Game-Theoretic Interactions,Jed,10.1109/ICSE55347.2025.00221,https://zenodo.org/records/14564985,2025,ICSE,East China Normal University,"algorithmic bias, fairness, bias mitigation, gametheoretic interaction, explainable artificial intelligence",Artefact Available,Yes,Yes,https://doi.org/10.5281/zenodo.14564985,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/LingfengZhang98/HIFI,"F1.2: Only one version of the software discussed in the paper, so no need for seperate DOIs for different versions",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Uses CSV; I2: Pretty sure no external databases used,Yes,"README, LICENSE",Yes,No,Yes,Yes,,No,"Docstrings, Inline comments",,Yes,Yes,"R2: Qualified reference to the external toolkit AIF360 and other software; R3: Great commenting! ; 3rd party tools: Uses external software, but nothing requiring payment or otherwise making it difficult to use.","Refreshingly high quality software artefact. DOI, good all round. Very FAIR!",00:11:00
07/03/2026 17:44:44,Relationship Status: “It's Complicated” Developer-Security Expert Dynamics in Scrum,Jed,10.1109/ICSE55347.2025.00120,,2025,ICSE,Ruhr University Bochum,"Agile, Scrum, Security, Developers, Security Experts, Collaboration, Relationship",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No artefact to be found,00:03:00
07/03/2026 17:50:26,Measuring the Runtime Performance of C++ Code Written by Humans Using Github Copilot,Jed,10.1109/ICSE55347.2025.00059,https://zenodo.org/records/13139261,2025,ICSE,University of Waterloo,LLM Assisted Programming,"Artefact Available, Artefact Functional, Artefact Reusable",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"While there ARE scripts included in the replication package, these are the scripts given to the study participants as part of the survey, and as such were not used DIRECTLY to generate the results. Essentially, the scripts provided are programming tasks, and in my opinion should be treated like questions on a questionnaire would be. For that reason, I don't consider them a SOFTWARE artefact, as they are not designed for use outside of the survey, and are just provided as part of the methodology. Happy to discuss this one since it seems to be a bit of an edge case.",00:04:00
10/03/2026 16:31:01,A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,Jed,10.1109/ICSE55347.2025.00167,https://zenodo.org/records/14867373,2025,ICSE,Carnegie Mellon University,"Rust, interoperation, undefined behavior, aliasing, bugs, foreign functions","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14867373,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/icmccorm/mirilli,F1.1: Dataset is small enough to not require a separate identifier,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,"README, appendix, dataset.md, usage.md",Yes,Yes,Yes,Yes,,No,,Docker,Yes,Yes,"R3: Source code could do with more comments, but the documentation is very strong.",Exceptionally good submission - this should be the standard,00:10:00
10/03/2026 17:28:39,Cooperative Software Verification via Dynamic Program Splitting,Jed,10.1109/ICSE55347.2025.00092,https://zenodo.org/records/13142908,2025,ICSE,"Universitat Oldenburg, Institute of Science and Technology Austria, LMU Munich","Software verification, cooperation, program splitting, off-the-shelf tools","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14859021,Yes,Yes,Yes,Yes,Yes,Yes,,No github,Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I1: Software uses .yml files, not fully sure if these are domain relevant",Yes,Multiple READMEs at different program depths,Yes,No,No: program uses external libraries but are not referenced appropriately,No,,No,,Docker,Yes,Yes,R2: No qualified references in the metadata; R3: Could use more comments,"Very large project so kind of hard to navigate, some questions may be incorrect as a result",00:15:00
19/03/2026 15:46:33,Exposing the Hidden Layer: Software Repositories in the Service of Seo Manipulation,Jed,10.1109/ICSE55347.2025.00147,https://zenodo.org/records/14876874,2025,ICSE,"Fudan University, QI-ANXIN Technology Research Institute, Tsinghua University, Quancheng Laboratory","software repository, blackhat SEO, supply chain vulnerability","Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14876874,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/Marphownio/RepSEO_Classifier,Github linked in paper,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: CSVs used,Yes,"README, license, appendix",Yes,No,Yes,Yes,requirements.txt (pip),No,Inline comments,Docker,Yes,Yes,"R1.2: Debatable, the original paper is briefly mentioned, but there probably isnt enough detail on the provenance of the artefact; R3: Code is decently commented, good documentation",High quality artefact.,11:00:00
19/03/2026 15:53:03,Hetrify: Efficient Verification of Heterogeneous Programs on RISC-V,Jed,10.1109/ICSE55347.2025.00081,https://anonymous.4open.science/r/Hetrify,2025,ICSE,National University of Defense Technology,"RISC-V, Heterogeneous program, Program verification",,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Repository for artefact has expired,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,Artefact linked in paper - but the link has expired. Could not find any other repository for the project.,00:05:00
19/03/2026 16:03:36,Hyperion: Unveiling DApp Inconsistencies Using LLM and Dataflow-Guided Symbolic Execution,Jed,10.1109/ICSE55347.2025.00015,https://github.com/shuo-young/Hyperion,2025,ICSE,"Sun Yat-sen University,  Zhejiang University","smart contract, LLM, inconsistency detection, dataflow analysis, symbolic execution",,Yes,No,,No,No,No,No,No,Yes,https://github.com/shuo-young/Hyperion,"F2: Metadata lacking; F1, etc: No DOI for artefact",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I1: Artefact is quite complicated, so it is hard to confirm this one. Some csv files are present within the project repository though; I2: No external datasets used",Yes,"README, LICENSE",Yes,No,Yes,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,No,"R3: Comments used, decent documentation; 3RD party tools: Not sure, LLM might be needed to run the project, but cant tell","Confusing project, may be some errors in my review",00:10:00
19/03/2026 16:43:28,Smartreco: Detecting Read-Only Reentrancy via Fine-Grained Cross-DApp Analysis,Jed,10.1109/ICSE55347.2025.00057,https://github.com/jwzhang-zzz/smartReco,2025,ICSE,"Sun Yat-sen University, Harbin Institute of Technology, Peng Cheng Laboratory, GuangDong Engineering Technology Research Center of Blockchain",Decentralize Application; Smart Contract; Vulnerability Detection; Program Analysis,,Yes,No,,No,No,No,No,No,Yes,https://github.com/jwzhang-zzz/smartReco,F2: Not enough detail in metadata,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,"README, LICENSE",Yes,No,Yes,No,requirements.txt (pip),No,Inline comments,Docker,Yes,Yes,R3: Comment quality is poor or missing in cases,"No DOI, weak documentation",00:08:00
19/03/2026 16:48:03,A Catalog of Micro Frontends Anti-Patterns,Jed,10.1109/ICSE55347.2025.00079,https://zenodo.org/records/14868084,2025,ICSE,Federal University of Amazonas,"Micro Frontends, Microservices, Anti-patterns, Software Architecture, Empirical Study",Artefact Available,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No software artefacts (besides a very small figure generating script, not enough to count)",00:04:00
19/03/2026 17:09:25,PairSmell: A Novel Perspective Inspecting Software Modular Structure,Jed,10.1109/ICSE55347.2025.00072,https://figshare.com/s/0a27c85b83bbfc69b5fc?file=52427174,2025,ICSE,"Nanjing University, University of Groningen, Power Supply Company","Modular Structure, Architectural Smell, Architecture Analysis","Artefact Available, Artefact Functional",Yes,No,"For some reason I can't find the DOI? Figshare says the item is 'shared privately', might be why?",No,No,No,No,No,Yes,,"F1: The software is on figshare, but there is no DOI link, and i dont think it has one. It says the software is 'shared privately'.",Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,"I1: Hard to completely verify, but json files present at least; I2: No external datasets used",Yes,"README, requirements.txt, COPYING.txt",Yes,No,Yes,No,requirements.txt (pip),No,,Docker,Yes,Yes,R3: Not enough comments,"Very large file size, would benefit from seperate DOIs for software and dataset",00:17:00
19/03/2026 17:15:50,"Understanding Architectural Complexity, Maintenance Burden, and Developer Sentiment -A Large-Scale Study",Jed,10.1109/ICSE55347.2025.00168,,2025,ICSE,"Drexel University, Google LLC",Software Maintenance,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This paper is a study with no software artefact produced.,00:03:00
19/03/2026 17:23:35,"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",Jed,10.1109/ICSE55347.2025.00157,https://zenodo.org/records/14872682,2025,ICSE,"University of Stuttgart, UC Davis","LLMs, Program Repair","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14872682,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/sola-st/RepairAgent,"Zenodo and github linked in paper, very findable",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,"LICENSE, README",Yes,No,Yes,No,requirements.txt (pip),No,,,No,No,"R3: Could use more comments and documentation, especially with how cluttered and complicated some folders are; Modular: Project might be TOO modular, so hard to tell what is going on.","Confusing project, so some answers may be incorrect",00:10:00
20/03/2026 21:24:40,A Tale of Two DL Cities: When Library Tests Meet Compiler,Jed,10.1109/ICSE55347.2025.00025,https://github.com/ShenQingchao/OPERA,2025,ICSE," Tianjin University, The Hong Kong University of Science and Technology","Compiler Testing, Test Migration, Test Prioritization, Deep Learning Compiler",,Yes,No,,No,No,Yes,No,No,Yes,https://github.com/ShenQingchao/OPERA,F2: Metadata lacking detail but just about qualifies,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,No,No: no datasets used,No: infeasible,"I1: Uses txt files pretty much exclusively, assuming these are not domain standard",Yes,"README, LICENSE, supplemental results, requirements, bugs",Yes,No,Yes,Yes,requirements.txt (pip),No,"Docstrings, Inline comments",,Yes,Yes,,"No DOI and weak metadata, but otherwise a good project",00:08:00
20/03/2026 23:13:47,Iterative Generation of Adversarial Example for Deep Code Models,Jed,10.1109/ICSE55347.2025.00086,https://github.com/unknownhl/ITGen,2025,ICSE,Chongqing University,"Adversarial Example, Deep Code Model, Iterative Generation",,Yes,No,,No,No,No,No,No,No,https://github.com/unknownhl/ITGen,F2: Not enough detail in the metadata,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,I1: Software does not need to read/write,No,README,No,No,Yes,No,requirements.txt (pip),No,,,Yes,Yes,R2: Requirements.txt with versions,"Small scale project, no DOI, small github repository without much FAIR adherence",00:09:00
20/03/2026 23:22:44,On the Mistaken Assumption of Interchangeable Deep Reinforcement Learning Implementations,Jed,10.1109/ICSE55347.2025.00222,https://zenodo.org/records/14864909,2025,ICSE,"National University of Singapore, Sun Yat-sen University","reinforcement learning, differential testing","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14864909,Yes,Yes,Yes,Yes,Yes,Yes,,AMAZING,Yes,Yes,Not necessary,Software is currently available,Download,No,Yes,Yes,Infeasable,Metadata describes how to use and run the artefact,Yes,No: no datasets used,No: infeasible,I2: Don't believe external datasets are used,Yes,"READMEs at every level of depth, LICENSE, supplementary material pdf",Yes,Yes,Yes,Yes,environment.yml,No,"Docstrings, Inline comments",Docker,Yes,Yes,,"Excellent project, leaves nothing to be desired",00:08:00
21/03/2026 17:30:56,μPRL: A Mutation Testing Pipeline for Deep Reinforcement Learning Based on Real Faults,Jed,10.1109/ICSE55347.2025.00036,https://github.com/testingautomated-usi/muPRL,2025,ICSE," Iowa State University, Universita della Svizzera italiana, Oakland University, King’s College London, Tulane University","reinforcement learning, mutation testing, real faults","Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,,No,No,No,No,No,Yes,https://github.com/testingautomated-usi/muPRL,"F1, etc: I do not believe there is a DOI for the software artefact for the paper. There is a figshare link https://figshare.com/s/933cbcd8681c00e0ff21?file=45238495 but i dont think this covers the software outputs of the research, and if it does, it doesnt cover all of them. Also, there are multiple githubs, one containing some data and some past research, while the other (the one linked in this response in the github link question in F) contains the software artefact for this paper.",Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,No: infeasible,I2: Other objects being the past research,Yes,"README, LICENSE",Yes,No,Yes,No,requirements.txt (pip),No,,Docker,Yes,No,R3: Lack of comments,"Confusing repository structure, two githubs and a figshare, with the software artefacts being in one of the githubs. Weak metadata. Not very easy to find.",00:13:00
21/03/2026 18:01:19,Testing and Understanding Deviation Behaviors in FHE-Hardened Machine Learning Models,Jed,10.1109/ICSE55347.2025.00107,https://github.com/Yiteng-Peng/HEDiff,2025,ICSE,"The Hong Kong University of Science and Technology, HSBC","Machine Learning, ",,Yes,No,,No,No,No,No,No,Yes,https://github.com/Yiteng-Peng/HEDiff,F2: Metadata lacks detail,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,README (not very detailed),No,No,Yes,No,,No,,,Yes,Yes,,"Quite a small github, no DOI, not much metadata or documentation",00:08:00
