Timestamp,Paper Name:,Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Is the software sufficiently modular?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",How long did this form take to complete?,Anything else to note?,DOI (of paper),"If F1 is met, please input the DOI of the latest version",Please input any links to GitHub if available,Any additional notes for F?,Any additional notes for A?,Any additional notes for I?,Any additional notes for R?,"Link to artefact repository (Github, Zenodo, Figshare etc)",(R1) Please list the software attributes in the repository.,Reviewer Name
11/02/2026 19:00:47,Reduce Dependence for Sound Concurrency Bug Prediction,2025,ICSE,"University of Chinese Academy of Sciences, Renmin University of China ",Bug prediction,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:04:04,,10.1109/ICSE55347.2025.00149,,,,,,,,,Freddie
12/02/2026 18:19:18,Sand: Decoupling Sanitization from Fuzzing for Low Overhead,2025,ICSE,"ETH Zurich, Nanyang Technological University, The Chinese University of Hong Kong, City University of Hong Kong",Fuzzing,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,No,No,No,No,No,No,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,No: no datasets used,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Inline comments,Docker,Yes,00:16:03,"This was given 3 ACM badges which could mean 1 of 2 things:
1. ACM criteria is slightly more lenient in that they allow GitHub repos
2. FAIR4RS itself allows GitHub repos to count for things like F

I'm more inclined to say 1 is more likely since it's an ACM ""available"" not an ACM ""findable""",10.1109/ICSE55347.2025.00187,,https://github.com/wtdcode/sand-aflpp,ACM available would imply a permanent Zenodo or Figshare but I can only find this GitHub and this was like at the bottom of Google??,,Infeasible for API but they have made it compatible with other fuzzers,"R2: part of a wider piece of software called AFL++ (https://github.com/wtdcode/sand-aflpp/blob/sand/README.AFLpp.md)
They also give instructions on how to reproduce the evaluation from the paper",https://github.com/wtdcode/sand-aflpp,"README, CITATION.cff, LICENSE, CONTRIBUTING.md, TODO.md, the paper itself!",Freddie
12/02/2026 18:29:13,TransferFuzz: Fuzzing with Historical Trace for Verifying Propagated Vulnerability Code,2025,ICSE,"Chinese Academy of Sciences, University of New South Wales, Taiyuan University of Technology",Fuzzing,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,,No,Yes,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,Yes,No,No,Yes,Yes,,No,Inline comments,Docker,Yes,00:08:27,,10.1109/ICSE55347.2025.00061,,https://github.com/Siyuan-Li201/TransferFuzz,Github but nothing else,"They tell you how to pull the docker image, which I guess is like telling you how to retrieve the artefact?",,"R1.2. there is provenance, but only after the artefact itself was uploaded to GitHub (i.e. just a bunch of README updates) so I don't think it counts?

they also give another reproducibility walkthrough which is nice",https://github.com/Siyuan-Li201/TransferFuzz,README,Freddie
13/02/2026 13:03:39,A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection,2025,ICSE,South China University of Technology,Code clone detection,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,Yes,No,No,Yes,No,,No,,,Yes,00:05:30,,10.1109/ICSE55347.2025.00050,,https://github.com/UnbSky/MRT-OAST,,,,"No requirements, just a list of things to install.
Inline comments are rarely used and most comments are just commented lines of code",https://github.com/UnbSky/MRT-OAST,README,Freddie
13/02/2026 13:07:50,Can an LLM Find Its Way Around a Spreadsheet?,2025,ICSE,Virginia Tech,LLMs and data processing,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:03:32,Shame because this paper seemed really interesting,10.1109/ICSE55347.2025.00101,,,,,,,,,Freddie
13/02/2026 13:16:00,QEDCartographer: Automating Formal Verification Using Reward-Free Reinforcement Learning,2025,ICSE,University of Massachusetts,AI for analysis,Artefact Available,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:05:03,"ACM gave this an ""available"" yet for the life of me I cannot find any artefact whatsoever, not mentioned in the paper, not on Google",10.1109/ICSE55347.2025.00033,,,,,,,,,Freddie
13/02/2026 13:19:42,TIGER: A Generating-Then-Ranking Framework for Practical Python Type Inference,2025,ICSE,"Nanyang Technology University, Fudan University, Sun Yat-sen University",LLMs and type inference,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:03:03,,10.1109/ICSE55347.2025.00019,,,,,,,,,Freddie
13/02/2026 13:28:55,ROCODE: Integrating Backtracking Mechanism and Program Analysis in Large Language Models for Code Generation,2025,ICSE,"Peking University, University of Electronic Science and Technology of China",Code generation,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Bash file to set everything up,No,,,Yes,00:07:50,,10.1109/ICSE55347.2025.00133,,https://github.com/jiangxxxue/ROCODE,,,Pretty sure the idea is to integrate this into existing code generators,,https://github.com/jiangxxxue/ROCODE,"README, LICENSE",Freddie
13/02/2026 13:44:02,Rango: Adaptive Retrieval-Augmented Proving for Automated Software Verification,2025,ICSE,,"University of California, University of Lisbon, Imperial College London, University of Massachusetts","Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,Yes,Yes,Yes,Yes,No,"requirements.txt (pip), pyproject.toml, .gitmodules, poetry.lock",No,Decorators,,Yes,00:10:42,,10.1109/ICSE55347.2025.00161,https://doi.org/10.5281/zenodo.14853833,https://github.com/rkthomps/coq-modeling,F1.1. They did split up their tool and dataset but only on GitHub. The zenodo reproduction package is a 7.2GB download that contains everything. I want to give it but you know how FAIR feels about GitHub. maybe somebody else will be more lenient than me in the second round,,,Like most ACM reusable artefacts they've given instructions to reproduce the evaluation,https://zenodo.org/records/14853833,"README, the paper itself, MAP.md (tells you what file does what), LICENSE",Freddie
13/02/2026 13:58:47,A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs,2025,ICSE,University of Virginia,Autonomous vehicles,"Artefact Available, Artefact Functional",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,Yes,Yes,Yes,Yes,No,,No,,Docker,Yes,00:13:56,,10.1109/ICSE55347.2025.00163,,https://github.com/less-lab-uva/DiffTest4AV,They archived it on software heritage for permanence but this doesn't count as a DOI :(,,,It's weird that they gave a tutorial to reproduce the results from the paper but they only requested as far as the functional badge from ACM,https://github.com/less-lab-uva/DiffTest4AV,"LICENSE, README",Freddie
16/02/2026 11:02:11,Automating a Complete Software Test Process Using LLMs: An Automotive Case Study,2025,ICSE,Chalmers University of Technology,LLMs and testing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:02:08,Was more of a case study on another tool I believe,10.1109/ICSE55347.2025.00211,,,,,,,,,Freddie
16/02/2026 11:12:26,LLM-Agents Driven Automated Simulation Testing and Analysis of small Uncrewed Aerial Systems,2025,ICSE,"Saint Louis University, University of Innsbruck",AI agents in aerial systems,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No: infeasible,No,Yes,No,Yes,Yes,No,,No,,,Yes,00:08:52,,10.1109/ICSE55347.2025.00223,,https://github.com/UAVLab-SLU/AutoSimTestFramework,,,,Not sure whether this would need a 3rd party since it's analysing drone flight logs. Would I need my own? I can use their data so it's probably okay,https://github.com/UAVLab-SLU/AutoSimTestFramework,README,Freddie
17/02/2026 14:59:38, Efficient Domain Augmentation for Autonomous Driving Testing Using Diffusion Models,2025,ICSE,"Poletecnico di Milano, Technical University of Munich, Software Insitute USI",Autonomous vehicles,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:04:59,This would have been amazing if not for the fact that their anonymous replication package repository has expired and is now no longer accessible,10.1109/ICSE55347.2025.00206,,https://anonymous.4open.science/r/efficient-domain-augmentation-for-autonomous-driving-testing-using-diffusion-model/,,,,,https://tinyurl.com/replication-package-icse-2025,,Freddie
17/02/2026 15:04:49,GARL: Genetic Algorithm-Augmented Reinforcement Learning to Detect Violations in Marker-Based Autonomous Landing Systems,2025,ICSE,Macquarie University,Autonomous Flying Vehicles,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:04:38,GitHub cited but gives 404 :(,10.1109/ICSE55347.2025.00076,,https://github.com/lfeng0722/drone,GitHub is now either private or has been deleted as it gives a 404,,,,https://github.com/lfeng0722/drone,,Freddie
18/02/2026 20:02:12,Decictor: Towards Evaluating the Robustness of Decision-Making in Autonomous Driving Systems,2025,ICSE,"Singapore Management University, Zhejiang Sci-Tech University, Tianjin University, Chinese Academy of Sciences",Autonomous Vehicles,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,requirements.txt (pip),Yes,"Docstrings, Inline comments",Docker,Yes,00:12:16,,10.1109/ICSE55347.2025.00114,https://doi.org/10.5281/zenodo.14759796,https://github.com/MingfeiCheng/Decictor,They made everything available through their Google sites which is nice but it was quite hard to find it through Google alone,,Compatible with Baidu Apollo but not sure about other autonomous vehicle platforms,"You need something called Baidu Apollo but the README does describe how to install this so maybe that balances it out?
Code is sufficiently commented but docstrings are here and there
They have given shell scripts to help you reproduce the results",https://zenodo.org/records/14752134,"README, the paper itself, LICENSE",Freddie
18/02/2026 20:15:56,Does GenAI Make Usability Testing Obsolete?,2025,ICSE,Universitaet Hamburg,"Usability engineering, UX",,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,"No, but no clear constraints not to",Yes,No: no datasets used,No but no clear constraints not to,Yes,Yes,Yes,No,Yes,Yes,,Yes,"Docstrings, Inline comments",,No,00:13:03,,10.1109/ICSE55347.2025.00138,,,"The figshare is weirdly bare bones, no trace of a DOI anywhere, just the code. Thus it loses a lot of points from this section.",They detail a user interface for the tool so I don't see why this isn't a web app besides the OpenAI and tinyPNG costs,Could let it integrate with other tools but I guess not much point,"You need both an OpenAI key and a tinyPNG key to run.
There are docstrings but it's just for licensing purposes
No details given about how to reproduce the results",https: //figshare.com/s/154fd5d2fe948a1ab3de,"README, LICENSE",Freddie
19/02/2026 15:54:58,Feature-Driven End-to-End Test Generation,2025,ICSE,University of British Columbia,Test Generation through LLMs,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,"No, but no clear constraints not to",Yes,No: no datasets used,Yes,Yes,No,No,Yes,Yes,No,requirements.txt (pip),Yes,,,Yes,00:07:01,,10.1109/ICSE55347.2025.00141,,https://github.com/parsaalian/autoe2e,GitHub no Zenodo,,Once you have set up the tool on your own server there are two available API endpoints,"You need an Anthropic / OpenAI API key and a MongoDB URI
They provide benchmark files from the paper to be able to reproduce their results",https://github.com/parsaalian/autoe2e,README only,Freddie
19/02/2026 16:09:59,SeeAction: Towards Reverse Engineering How-What-Where of HCI Actions from Screencasts for UI Automation,2025,ICSE,"CSIRO's Data61, Australian National University, University of New South Wales ",UI automation / testing,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,No: datasets used but not referenced appropriately,No but no clear constraints not to,Yes,No,No,No,Yes,No,,No,,,No,00:09:01,,10.1109/ICSE55347.2025.00144,,https://github.com/DehaiZhao/SeeAction,,,They just tell you to download the dataset which is fair enough I suppose if its massive but I wouldn't count it as a qualified reference,"GitHub is 1 commit (add files via upload) and 1 branch
I don't believe they've given any explicit instructions on how to replicate the results",https://github.com/DehaiZhao/SeeAction,README only,Freddie
20/02/2026 11:02:21,Synthesizing Document Database Queries Using Collection Abstractions,2025,ICSE,Simon Fraser University,Databases,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,Yes,Yes,No,No,Yes,Yes,No,"requirements.txt (pip), build.gradle (Gradle/Java)",Yes,,Docker,Yes,00:10:47,,10.1109/ICSE55347.2025.00152,https://doi.org/10.5281/zenodo.14873766,https://github.com/simpl-group/nosdaq,Had to search on Google in order to find the replication package,,Integrated with MongoDB but not sure about other tools,"You'll need MongoDB
No docstrings and inline comments are sparse
Includes instructions on how to repeat results","https://zenodo.org/records/14873546, https://github.com/simpl-group/nosdaq",README only,Freddie
20/02/2026 11:13:05,The Power of Types: Exploring the Impact of Type Checking on Neural Bug Detection in Dynamically Typed Languages,2025,ICSE,"McGill University, Linkoeping University",Type Checking,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,No: datasets used but not referenced appropriately,No: infeasible,Yes,No,Yes,No,Yes,Yes,requirements.txt (pip),No,Inline comments,,Yes,00:10:21,,10.1109/ICSE55347.2025.00088,,https://github.com/20001LastOrder/icse2025-type4py,Dataset available on a figshare https://figshare.com/s/9628d556e58daef5bb84 but still no DOI so not giving F1.1.,,"I2: they just tell you to ""download this dataset"". I get that they can't upload the dataset due to GitHub size limits but this could've easily been achieved had they put it on zenodo/figshare",R3: just inline comments but there are enough to warrant the criterion,https://github.com/20001LastOrder/icse2025-type4py,README only,Freddie
21/02/2026 11:31:31, A Test Oracle for Reinforcement Learning Software Based on Lyapunov Stability Control Theory,2025,ICSE,Hong Kong Polytechnic University,Reinforcement Learning,Artefact Available,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:06:07,"Cannot find the artefact whatsoever. Not in the paper, not on Google, somehow earned an ACM available badge",10.1109/ICSE55347.2025.00074,,,,,,,,,Freddie
21/02/2026 11:41:11,CodeImprove: Program Adaptation for Deep Code Models,2025,ICSE,"University of Texas at Dallas, University of Pennsylvania",Deep learning code analysis,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,No,No,No,Yes,No,,No,,,No,00:08:59,,10.1109/ICSE55347.2025.00139,,https://github.com/CodeImprove/CodeImprove,GitHub but no Zenodo,,,"R1.2. there is version history but only after uploading the entire project, mostly README updates, no provenance of the actual project
R3: no comments, some function names do not follow complete snake_case (some start with capital letters).",https://github.com/CodeImprove/CodeImprove,README Only,Freddie
22/02/2026 13:43:44,Fairquant: Certifying and Quantifying Fairness of Deep Neural Networks,2025,ICSE,"University of Southern California, Purdue University",Neural networks,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,Yes,Yes,Yes,Yes,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,00:10:56,,10.1109/ICSE55347.2025.00016,https://doi.org/10.5281/zenodo.14890262,https://github.com/briankim113/FairQuant-Artifact/tree/main/data,F1.1 dataset is not a separate artefact but it's small enough to be okay as per Michael's feedback,,"I1: input files are given nonstandard file extensions, they look to be in a format similar to csv? Unsure whether to give this or not because there is another data in csv format. I will give benefit of doubt","Needs some VM software
Code standards are okay just lacking docstrings",https://zenodo.org/records/14890262,Multiple READMEs,Freddie
22/02/2026 14:00:23,Calibration and Correctness of Language Models for Code,2025,ICSE,"UC Davis, University of Stuttgart, University of Houston, SRI",Code correctness,"Artefact Available, Artefact Functional",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,Yes,Yes,No: infeasible,No,No,No,Yes,Yes,Yes,pyproject.toml,Yes,Inline comments,Docker,No,00:16:27,,10.1109/ICSE55347.2025.00040,https://doi.org/10.5281/zenodo.14744842,,"F1.1 dataset is not separate but small enough to be okay
F1.2. only v1 is available but still stands",,,Needs an OpenAI key,https://zenodo.org/records/14744842,README only,Freddie
22/02/2026 14:07:49,An Empirical Study on Commit Message Generation Using LLMs via In-Context Learning,2025,ICSE,"Peking University, Ant Group, Fudan University, The Chinese University of Hong Kong",LLMs and commit message generation,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No: infeasible,No,No,No,No,Yes,No,,No,,,Yes,00:06:46,,10.1109/ICSE55347.2025.00091,,https://github.com/wuyifan18/LLM4CMG,GitHub but no Zenodo,,"I2: dataset is linked externally but is FAIR, unsure whether to give but gave BOD",Results are reproducible but software does not meet reusability standards,https://github.com/wuyifan18/LLM4CMG,README only,Freddie
23/02/2026 11:25:53,Instruct or Interact? Exploring and Eliciting LLMs' Capability in Code Snippet Adaptation Through Prompt Engineering,2025,ICSE,National University of Defense and Technology,LLM code generation,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,Yes,Yes,No,Yes,Yes,requirements.txt (pip),No,,,Yes,00:08:42,,10.1109/ICSE55347.2025.00104,,https://github.com/ztwater/Instruct-or-Interact,,,,"R3 A few sparse inline comments, README is okay. gonna give because I feel like I've been too harsh for this criterion since nobody wants to write docstrings
Reproducibility tutorials are given in the README",https://github.com/ztwater/Instruct-or-Interact,Multiple READMEs,Freddie
23/02/2026 11:37:06,Search-Based LLMs for Code Optimization,2025,ICSE,"The Chinese University of Hong Kong, Harbin Institute of Technology",LLMs and code generation,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No: infeasible,Yes,No,Yes,Yes,Yes,Yes,requirements.txt (pip),Yes,"Docstrings, Inline comments",,Yes,00:10:14,,10.1109/ICSE55347.2025.00021,, https://github.com/ shuzhenggao/sbllm,,,"I2: dataset is external and needs you to download it, but the dataset is FAIR and is referenced in an interoperability sense so I think this is fine?","Needs API key for AI services
Docstrings are a bit inconsistent but effort has been made here", https://github.com/shuzhenggao/sbllm,README only,Freddie
23/02/2026 11:50:23,Towards Better Answers: Automated Stack Overflow Post Updating,2025,ICSE,"Zhejiang University, Hangzhou City University, University of Western Australia",LLMs in media,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,requirements.txt (pip),No,Inline comments,,No,00:10:45,,10.1109/ICSE55347.2025.00024,https://doi.org/10.6084/m9.figshare.25465282,,"F1.1 dataset is included in the archive but is small enough to be okay
F2 I wouldn't say it's rich but there are multiple export methods
F4: available in XML format which is machine-readable",,It's integrated into StackOverflow so I guess that counts,"R3: satisfactory amount of context and inline comments
Whilst they give the dataset that they used it may not necessarily produce the same results",https://doi.org/10.6084/m9.figshare.25465282,README only,Freddie
24/02/2026 13:48:09,Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,2025,ICSE,National University of Defense Technology,LLM code generation,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,No but no clear constraints not to,Yes,No,No,No,Yes,Yes,,Yes,,,Yes,00:07:41,,10.1109/ICSE55347.2025.00082,,https://github.com/zhangbuzhang/ObfusEval,GitHub but nothing else,,Works for GPT but not for others,"R3: code is readable but hardly any docstrings, inline comments, etc.
Needs OpenAI api key",https://github.com/zhangbuzhang/ObfusEval,README only,Freddie
24/02/2026 14:06:39,ConsCS: Effective and Efficient Verification of Circom Circuits,2025,ICSE,Hong Kong Polytechnic University,Zero Knowledge Proofs,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,Yes,No: no datasets used,No: infeasible,Yes,No,Yes,No,Yes,No,,No,Inline comments,,Yes,00:08:06,,10.1109/ICSE55347.2025.00200,,https://github.com/jinan789/ConsCS,,,,"R3: could be strict but there are no docstrings, barely any inline comments, and typical Python case guidelines are not always adhered to",https://github.com/jinan789/ConsCS,README only,Freddie
24/02/2026 14:20:26,Constrained LTL Specification Learning from Examples,2025,ICSE,"Carnegie Mellon University, Columbia University, The Pennsylvania State University",Linear Temporal Logic,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,No: infeasible,No,Yes,Yes,Yes,Yes,No,pom.xml (Maven / Java),No,,,Yes,00:07:31,,10.1109/ICSE55347.2025.00160,https://doi.org/10.5281/zenodo.14578202,https://github.com/cmu-soda/ATLAS,,They tell you how to retrieve the docker image,I2: references to benchmark data are included,"R3: no comments whatsoever but code is at least readable, unsure whether to give
Benchmark tests are included",https://zenodo.org/records/14578202,README only but is very detailed,Freddie
25/02/2026 19:37:03,LLM-Aided Automatic Modeling for Security Protocol Verification,2025,ICSE,"Zhejiang University, Singapore Management University, Xidian University, East China Normal University",Automatic modelling,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,"No, but no clear constraints not to",Yes,Yes,No but no clear constraints not to,Yes,No,Yes,Yes,Yes,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,00:08:51,,10.1109/ICSE55347.2025.00197,,https://github.com/zerrymore/AutoSM,,The application itself is a web app but they haven't deployed it anywhere,,Requires Tamarin prover,https://github.com/zerrymore/AutoSM,README only,Freddie
