Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
What Guides Our Choices? Modeling Developers' Trust and Behavioral Intentions Towards Genai,5,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
An Empirical Study on Package-Level Deprecation in Python Ecosystem,4,0,,Anything else to note?; How long did this form take to complete?; Research Area:; Year Published:
Critical Variable State-Aware Directed Greybox Fuzzing,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Evaluating Garbage Collection Performance Across Managed Language Runtimes,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
FairChecker: Detecting Fund-Stealing Bugs in DeFi Protocols via Fairness Validation,4,0,,Anything else to note?; How long did this form take to complete?; Research Area:; Year Published:
LLM Assistance for Memory Safety,4,0,,Anything else to note?; How long did this form take to complete?; Institution (if applicable); Year Published:
Moye: A Wallbreaker for Monolithic Firmware,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Reduce Dependence for Sound Concurrency Bug Prediction,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Relationship Status: “It's Complicated” Developer-Security Expert Dynamics in Scrum,4,0,,Anything else to note?; How long did this form take to complete?; Research Area:; Year Published:
Test Intention Guided LLM-Based Unit Test Generation,4,0,,Anything else to note?; How long did this form take to complete?; Research Area:; Year Published:
The Product Beyond the Model - An Empirical Study of Repositories of Open-Source ML Products,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Unavoidable Boundary Conditions: a Control Perspective on Goal Conflicts,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Understanding Compiler Bugs in Real Development,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
“Get Me in the Groove”: a Mixed Methods Study on Supporting Adhd Professional Programmers,4,0,,How long did this form take to complete?; Institution (if applicable); Research Area:; Year Published:
Boosting Path-Sensitive Value Flow Analysis Via Removal of Redundant Summaries,3,0,,How long did this form take to complete?; Institution (if applicable); Year Published:
