Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
An Empirical Study on Reproducible Packaging in Open-Source Ecosystems,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; R1.1. Software is given a clear and accessible license."
An Extensive Empirical Study of Nondeterministic Behavior in Static Analysis Tools,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on Websites,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
"Code Cloning in Solidity Smart Contracts: Prevalence, Evolution, and Impact on Development",3,3,"F, I","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
Code Comment Inconsistency Detection and Rectification Using a Large Language Model,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
Coni: Detecting Database Connector Bugs via State-Aware Test Case Generation,3,3,"I, R","I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
DPFuzzer: Discovering Safety Critical Vulnerabilities for Drone Path Planners,3,3,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Diversity Drives Fairness: Ensemble of Higher Order Mutants for Intersectional Fairness of Machine Learning Software,3,3,"I, R","I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
Fairquant: Certifying and Quantifying Fairness of Deep Neural Networks,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Faster Configuration Performance Bug Testing with Neural Dual-Level Prioritization,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
HumanEvo: An Evolution-Aware Benchmark for More Realistic Evaluation of Repository-Level Code Generation,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Hyperion: Unveiling DApp Inconsistencies Using LLM and Dataflow-Guided Symbolic Execution,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history)."
Instruct or Interact? Exploring and Eliciting LLMs' Capability in Code Snippet Adaptation Through Prompt Engineering,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Instrumentation-Driven Evolution-Aware Runtime Verification,3,3,"F, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Interactive Cross-Language Pointer Analysis For Resolving Native Code in Java Programs,3,3,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
LLM Based Input Space Partitioning Testing for Library APIs,3,3,R,"R1.1. Software is given a clear and accessible license.; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,3,3,"F, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Metamorphic-Based Many-Objective Distillation of LLMs for Code-Related Tasks,3,3,R,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
PacDroid: A Pointer-Analysis-Centric Framework for Security Vulnerabilities in Android Apps,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
PairSmell: A Novel Perspective Inspecting Software Modular Structure,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
RLCoder: Reinforcement Learning for Repository-Level Code Completion,3,3,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Rango: Adaptive Retrieval-Augmented Proving for Automated Software Verification,3,3,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Reasoning Runtime Behavior of a Program with LLM: How Far are We?,3,3,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
RediI: Test Infrastructure to Enable Deterministic Reproduction of Failures for Distributed Systems,3,3,"F, R","F1.2. Different versions of the software are assigned distinct identifiers.; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
"RepairAgent: An Autonomous, LLM-Based Agent for Program Repair",3,3,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Search-Based LLMs for Code Optimization,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
Smartreco: Detecting Read-Only Reentrancy via Fine-Grained Cross-DApp Analysis,3,3,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1.1. Software is given a clear and accessible license.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
SpecRover: Code Intent Extraction via LLMs,3,3,"F, I, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
TOGLL: Correct and Strong Test Oracle Generation with LLMS,3,3,"F, I, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
Testing and Understanding Deviation Behaviors in FHE-Hardened Machine Learning Models,3,3,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.2. Software is associated with detailed provenance (version history)."
Toward a Better Understanding of Probabilistic Delta Debugging,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Towards Better Answers: Automated Stack Overflow Post Updating,3,3,"F, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
TransferFuzz: Fuzzing with Historical Trace for Verifying Propagated Vulnerability Code,3,3,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.1. Software is given a clear and accessible license."
Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,3,3,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Unveiling the Energy Vampires: A Methodology for Debugging Software Energy Consumption,3,3,"A, F, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
exLong: Generating Exceptional Behavior Tests with Large Language Models,3,3,"F, I, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1.2. Software is associated with detailed provenance (version history)."
A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
A Large-Scale Study of Model Integration in ML-Enabled Software Systems,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,2,2,"F, R","F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1.1. Software is given a clear and accessible license."
A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,2,2,"A, F","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software."
Are We Learning the Right Features? A Framework for Evaluating DL-Based Software Vulnerability Detection Solutions,2,2,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and Migration,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
CodeImprove: Program Adaptation for Deep Code Models,2,2,"I, R","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
ConsCS: Effective and Efficient Verification of Circom Circuits,2,2,R,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Context Conquers Parameters: Outperforming Proprietary Llm in Commit Message Generation,2,2,"A, I","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
Decictor: Towards Evaluating the Robustness of Decision-Making in Autonomous Driving Systems,2,2,"A, F","A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software."
Dissecting Global Search: A Simple Yet Effective Method to Boost Individual Discrimination Testing and Repair,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
FairSense: Long-Term Fairness Analysis of ML-Enabled Systems,2,2,R,"R1.2. Software is associated with detailed provenance (version history).; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
LLM-Agents Driven Automated Simulation Testing and Analysis of small Uncrewed Aerial Systems,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Large Language Models for Safe Minimization,2,2,"A, I","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
"No Harness, No Problem: Oracle-guided Harnessing for Auto-generating C API Fuzzing Harnesses",2,2,R,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
On the Mistaken Assumption of Interchangeable Deep Reinforcement Learning Implementations,2,2,"A, I","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
ROCODE: Integrating Backtracking Mechanism and Program Analysis in Large Language Models for Code Generation,2,2,R,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
Rug: Turbo Llm for Rust Unit Test Generation,2,2,R,"R1.2. Software is associated with detailed provenance (version history).; R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Sand: Decoupling Sanitization from Fuzzing for Low Overhead,2,2,"A, I","A2. Metadata are accessible, even when the software is no longer available.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
Static Analysis of Remote Procedure Call in Java Programs,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
TraceFL: Interpretability-Driven Debugging in Federated Learning via Neuron Provenance,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R1.2. Software is associated with detailed provenance (version history)."
μPRL: A Mutation Testing Pipeline for Deep Reinforcement Learning Based on Real Faults,2,2,"A, R","A2. Metadata are accessible, even when the software is no longer available.; R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
An Empirical Study on Commit Message Generation Using LLMs via In-Context Learning,1,1,R,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Definition and Detection of Centralization Defects in Smart Contracts,1,1,F,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.
Dockerfile Flakiness: Characterization and Repair,1,1,A,"A2. Metadata are accessible, even when the software is no longer available."
EffBT: An Efficient Behavior Tree Reactive Synthesis and Execution Framework,1,1,R,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
LiSSA: Toward Generic Traceability Link Recovery Through Retrieval-Augmented Generation,1,1,I,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
Lightweight Concolic Testing via Path-Condition Synthesis for Deep Learning Libraries,1,1,R,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?"
MARQ: Engineering Mission-Critical AI-Based Software with Automated Result Quality Adaptation,1,1,A,"A2. Metadata are accessible, even when the software is no longer available."
Planning a Large Language Model for Static Detection of Runtime Errors in Code Snippets,1,1,I,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
ROSA: Finding Backdoors with Fuzzing,1,1,R,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks"
Towards Neural Synthesis for SMT-Assisted Proof-Oriented Programming,1,1,I,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
